Name,Producer,Vintage,Price,DO,Variety,Type,Country,Region,Cost,Supplier,abv,cl
Château Lafitte Argile Sec,Château Lafitte,2018,159.00,Jurançon,Petit Manseng,White,Francia,Sud-Ouest,53.00,Wine Searcher,14.0,50
Pinot Gris Himmrich,Cave de Cleebourg ,2014,35.25,Alsace,Pinot Gris,White,Francia,,11.75,Media Relations,,75
Pinot Gris Himmrich,Cave de Cleebourg ,2015,35.25,Alsace,Pinot Gris,White,Francia,,11.75,Media Relations,,75
Marcel Deiss Riesling,Marcel Deiss ,2016,79.50,Alsace,Riesling,White,Francia,,26.50,Piñero,,75
Chablis 1er Cru Vaulorent,La Chablisienne ,2015,89.70,Chablis 1er Cru,Chardonnay,White,Francia,,29.90,El Gusto por el Vino,,75
Chassagne-Montrachet,Joseph Drouhin ,2015,184.50,Chassagne-Montrachet,Chardonnay,White,Francia,,61.50,Piñero,,75
Meursault Terres Blanches Vieilles Vignes,Vaudoisey-Creusefond ,2015,0.00,Meursault,Chardonnay,White,Francia,,,,,75
Les Grands Charrons,Philippe Bouzereau Château de Cîteaux,2017,109.80,Meursault,Chardonnay,White,Francia,,36.60,,,75
Les Vieilles Vignes,Vincent Girardin ,2014,73.50,Pouilly-Fuissé,Chardonnay,White,Francia,,24.50,Piñero,,75
Les Vieilles Vignes,Vincent Girardin ,2016,73.50,Pouilly-Fuissé,Chardonnay,White,Francia,,24.50,Piñero,,75
Côtes du Jura Savagnier,Berthet-Bondet ,2014,79.50,Côtes du Jura,Savagnin,White,Francia,,26.50,Piñero,,75
Vouvray Classic,Marc Brédif ,2017,41.01,Vouvray,Chenin Blanc,White,Francia,,13.67,Primeras Marcas,,75
Sancerre Blanc,Vacheron ,2017,70.50,Sancerre,Sauvignon Blanc,White,Francia,,23.50,Piñero,,75
Les Pierres de Pierre,Masson-Blondelet ,2016,0.00,Pouilly-Fumé,Sauvignon Blanc,White,Francia,,,,,75
Les Pierres de Pierre,Masson-Blondelet ,2013,0.00,Pouilly-Fumé,Sauvignon Blanc,White,Francia,,,,,75
Hatzidakis Aidani,Hatzidakis ,2016,51.78,PGI Cyclades,Aidani Aspro,White,Grecia,Santorini,17.26,TROPICAL TURISTICA CANARIA SL,13.8,75
Cuvée No 15,Hatzidakis ,2015,58.35,Santorini,Assyrtiko,White,Grecia,Santorini,19.45,TROPICAL TURISTICA CANARIA SL,14.5,75
Aidani,Hatzidakis,2015,61.05,PGI Cyclades,Aidani,White,Grecia,Santorini ,20.35,Wineissocial,14.0,75
Mandolás Furmint Seco,Tokaj Oremus,1997,54.00,Tokaj,Furmint,White,Hungría,Tokaj,18.00,Wine Searcher,13.5,75
Szepsy Szent Tamás Tokaji Furmint,István Szepsy,2008,165.00,Tokaj-Hegyalja,Furmint,White,Hungría,Tokaj-Hegyalja,55.00,Wine Searcher,13.5,75
Biagi Passerina,Biagi ,2015,18.00,Colli Aprutini IGT,Passerina,White,Italia,Abruzzo,6.00,FranciaSCO ROSSINI ROSS VINI,13.5,75
Biagi Pecorino,Biagi ,2016,21.60,Colli Aprutini IGT,Pecorino,White,Italia,Abruzzo,7.20,TROPICAL HOTELES SA,12.5,75
Emidio Pepe Pecorino,Emidio Pepe,2017,135.24,Colli Aprutini IGT,Pecorino,White,Italia,Abruzzo,45.08,wine Searcher,13.5,75
Vigna della Congregazione,Villa Diamante ,2000,75.00,Fiano di Avellino,Fiano,White,Italia,Campania,25.00,IMPORTACIONES Y EXPORTACIONES DE VINO ENOTRIA S.L.,13.0,75
Greco Case Sparse,Viña Diamante ,2005,45.00,IGT Campania,Greco,White,Italia,Campania,15.00,TROPICAL HOTELES SA,13.0,75
Ageno,Elena Pantaleoni-La Stoppa,2011,59.85,IGT Emilia ,"Malvasia di Candia Aromatica, Ortrugo, Trebbiano",White,Italia,Emilia-Romagna,19.95,Cuvée 3000,13.0,75
Sacrisassi Bianco,Le Due Terre ,2014,74.40,Colli Orientali del Friuli,"Friulano, Ribolla Gialla",White,Italia,Friuli-Venezia Giulia,24.80,IMPORTACIONES Y EXPORTACIONES DE VINO ENOTRIA S.L,13.0,75
Severo Bianco,Ronco Severo ,2014,59.70,IGT Venezia Giulia,"Chardonnay, Friulano, Picolit, Ribolla Gialla",White,Italia,Friuli-Venezia Giulia,19.90,IMPORTACIONES Y EXPORTACIONES DE VINO ENOTRIA S.L.,13.5,75
Vigna Traverso Pinot Grigio,Vigna Traverso ,2017,49.65,Colli Orientali Del Friuli-Schioppettino di Prepotto,Pinot Grigio,White,Italia,Friuli-Venezia Giulia,16.55,VINOFILOS TENERIFE S.L.U.,13.0,75
Miani Friulano ,Gabrio Bini-Azienda Agricola Serragghia,2015,198.00,Colli Orientali del Friuli,Friulano,White,Italia,Friuli-Venezia Giulia,66.00,Wine Searcher,14.0,75
Gravner Ribolla ,Josko Gravner,2011,201.00,IGT Venezia Giulia,Ribolla,White,Italia,Friuli-Venezia Giulia,67.00,Wine Searcher,15.5,75
Vodopivec Vitovska ,Vodopivec,2012,150.00,Carso,Vitovska,White,Italia,Friuli-Venezia Giulia,50.00,Wine Searcher,12.5,75
Radikon Oslavje,Radikon,2014,126.00,IGT Venezia Giulia,"Chardonnay, Sauvignon Blanc",White,Italia,Friuli-Venezia Giulia,42.00,Wine Searcher,13.5,50
Semplicemente Vino Bianco,Bellotti-Cascina degli Ulivi,2016,30.90,Vino da Tavola (Piemonte),Cortese,White,Italia,Piedmont,10.30,Cuvée 3000,12.0,75
Montemarino,Bellotti-Cascina degli Ulivi,2012,108.00,Vino da Tavola (Piemonte),Cortese,White,Italia,Piedmont,36.00,Wine Searcher,12.0,75
SP68 Bianco,Arianna Occhipinti ,2016,38.85,IGT Terre Siciliane ,"Albanello, Zibibbo",White,Italia,Sicily,12.95,JUBA SUAREZ RUFINO,12.0,75
Pietra Marina Etna Bianco Superiore,Benanti ,2013,103.95,Etna Bianco Superiore,Carricante,White,Italia,Sicily,34.65,DISTRIBUCIONES CONGAVIAS S.L.,12.5,75
Versante Nord Uve Bianche,Eduardo Torres Acosta ,2016,47.85,IGT Terre Siciliane ,"Minella Bianca, Catarratto, Carricante, Coda di Volpe, Grecanico, Inzolia",White,Italia,Sicily,15.95,JUBA SUAREZ RUFINO,12.0,75
Serraghia Zibibbo Vino Secco,Gabrio Bini-Azienda Agricola Serragghia,2018,131.55,Pantelleria,Zibibbo,White,Italia,Sicily,43.85,Wine Searcher,13.0,75
SP68,Arianna Occhipinti,2015,44.70,IGT Terre Siciliane ,"Albanello, Zibibbo",White,Italia,Sicily,14.90,Wineissocial,11.5,75
Ramí Bianco,Azienda Agricola Cos,2014,45.90,IGT Terre Siciliane ,"Inzolia, Grecanico",White,Italia,Sicily,15.30,Wineissocial,12.0,75
Classico Gewürztraminer,Cantina Terlano-Kellerei Terlan ,2015,104.73,Alto Adige-Südtirol,Gewürztraminer,White,Italia,Trentino-Alto Adige,34.91,TROPICAL HOTELES SA,14.5,75
Quartz,Cantina Terlano-Kellerei Terlan ,2015,46.80,Alto Adige Terlano,Sauvignon Blanc,White,Italia,Trentino-Alto Adige,15.60,LAVINIA ESPAÑA SELECCION SL,14.0,75
Manincor Moscato Giallo,Manincor ,2015,44.70,Alto Adige-Südtirol,Moscato Giallo,White,Italia,Trentino-Alto Adige,14.90,TROPICAL HOTELES SA,13.5,75
Fontanasanta Nosiola,Elisabetta Foradori,2015,84.00,IGT Vigneti delle Dolomiti ,Nosiola,White,Italia,Trentino-Alto Adige,28.00,Gourmet Hunters,12.0,75
Terra Alpina Pinot Grigio,Alois Lageder ,2018,45.00,IGT Vigneti delle Dolomiti ,Pinot Grigio,White,Italia,Trentino-Alto Adige,15.00,Wine Searcher,12.5,75
Bugia,Bibi Graetz ,2016,132.00,IGT Toscana,Ansonica,White,Italia,Tuscany,44.00,Wine Searcher,12.5,75
La Rocca ,Pieropan ,2017,90.00,Soave Classico,Garganega,White,Italia,Veneto,30.00,Wine Searcher,12.0,75
Jermann Pinot Grigio,Jermann ,2017,61.98,IGT Venezia Giulia,Pinot Grigio,White,Italia,,20.66,Primeras Marcas,,75
Lugana di San Benedetto Bianco,Zenato,2019,33.00,Lugana,Verdicchio,White,Italia,Veneto,11.00,Primeras Marcas,13.0,75
Tenuta di Altavilla Greco di Tufo,Villa Matilde ,2019,45.00,Greco di Tufo,Greco,White,Italia,Campania,15.00,Primeras Marcas,13.5,75
San Michele Soave Classico,Ca'Rugate,2019,45.00,Soave Classico,Garganega,White,Italia,Veneto,15.00,Primeras Marcas,12.0,75
T Cuvée Bianco,Tramin,2019,22.50,IGT Dolomiti,"Chardonnay, Pinot Bianco, Sauvignon Blanc, Riesling",White,Italia,Trentino-Alto Adige,7.50,Primeras Marcas,12.5,75
Conti d'Arco Chardonnay,Conti d'Arco,2018,18.00,Trentino,Chardonnay,White,Italia,Trentino,6.00,Primeras Marcas,12.5,75
ColleVento 921 Friulano,Antonutti ,2019,15.00,Friuli-Venezia Giulia,Friulano,White,Italia,Friuli-Venezia Giulia,5.00,Primeras Marcas,,75
Trovati Grillo ,Mezzacorona,2019,15.00,Sicily,Grillo,White,Italia,Sicily,5.00,Primeras Marcas,13.0,75
